param1_alpha1,param2_alpha2,param3_alpha3,custo_total,maior_autovalor_abs
1.0,0.6000000000000001,-0.19999999999999996,16.14120994880642,0.9491860870865353
1.0,0.6000000000000001,0.0,16.1412138701198,0.9491860870865353
1.0,0.6000000000000001,0.20000000000000018,16.141217730969533,0.9491860870865353
1.0,0.6000000000000001,0.40000000000000013,16.141221531024605,0.9491860870865353
1.0,0.6000000000000001,0.6000000000000001,16.141225269956163,0.9491860870865353
1.0,0.6000000000000001,0.8,16.141228947437565,0.9491860870865353
1.0,0.6000000000000001,1.0,16.1412325631446,0.9491860870865353
0.8,-0.19999999999999996,-1.0,16.141325965993865,0.9491860870865353
0.8,-0.19999999999999996,-0.8,16.141330999150107,0.9491860870865353
0.8,-0.19999999999999996,-0.6,16.14133597408816,0.9491860870865353
0.8,-0.19999999999999996,-0.3999999999999999,16.14134089045287,0.9491860870865353
0.8,-0.19999999999999996,-0.19999999999999996,16.141345747891183,0.9491860870865353
0.8,-0.19999999999999996,0.0,16.141350546052205,0.9491860870865353
0.8,-0.19999999999999996,0.20000000000000018,16.141355284587227,0.9491860870865353
0.8,-0.19999999999999996,0.40000000000000013,16.141359963149622,0.9491860870865353
0.8,-0.19999999999999996,0.6000000000000001,16.141364581395084,0.9491860870865353
0.8,-0.19999999999999996,0.8,16.141369138981478,0.9491860870865353
0.8,-0.19999999999999996,1.0,16.14137363556898,0.9491860870865353
0.6000000000000001,-1.0,-1.0,16.141495771686227,0.9491860870865353
0.6000000000000001,-1.0,-0.8,16.14150167324738,0.9491860870865353
0.6000000000000001,-1.0,-0.6,16.141507517525287,0.9491860870865353
0.6000000000000001,-1.0,-0.3999999999999999,16.141513304149484,0.9491860870865353
0.6000000000000001,-1.0,-0.19999999999999996,16.14151903275152,0.9491860870865353
0.6000000000000001,-1.0,0.0,16.141524702965143,0.9491860870865353
0.6000000000000001,-1.0,0.20000000000000018,16.14153031442619,0.9491860870865353
0.6000000000000001,-1.0,0.40000000000000013,16.14153586677261,0.9491860870865353
0.6000000000000001,-1.0,0.6000000000000001,16.141541359644613,0.9491860870865353
0.6000000000000001,-1.0,0.8,16.141546792684505,0.9491860870865353
0.6000000000000001,-1.0,1.0,16.141552165536833,0.9491860870865353
1.0,0.8,-1.0,16.141637643562184,0.9491860870865353
1.0,0.8,-0.8,16.141641710389823,0.9491860870865353
1.0,0.8,-0.6,16.14164571782935,0.9491860870865353
1.0,0.8,-0.3999999999999999,16.14164966554303,0.9491860870865353
1.0,0.8,-0.19999999999999996,16.141653553195336,0.9491860870865353
1.0,0.8,0.0,16.14165738045282,0.9491860870865353
1.0,0.8,0.20000000000000018,16.1416611469844,0.9491860870865353
1.0,0.8,0.40000000000000013,16.141664852461105,0.9491860870865353
1.0,0.8,0.6000000000000001,16.14166849655621,0.9491860870865353
1.0,0.8,0.8,16.141672078945366,0.9491860870865353
1.0,0.8,1.0,16.141675599306392,0.9491860870865353
0.8,0.0,-1.0,16.141763724075044,0.9491860870865353
0.8,0.0,-0.8,16.141768666039685,0.9491860870865353
0.8,0.0,-0.6,16.14177354951317,0.9491860870865353
0.8,0.0,-0.3999999999999999,16.14177837414253,0.9491860870865353
0.8,0.0,-0.19999999999999996,16.14178313957681,0.9491860870865353
0.8,0.0,0.0,16.14178784546724,0.9491860870865353
0.8,0.0,0.20000000000000018,16.141792491467186,0.9491860870865353
0.8,0.0,0.40000000000000013,16.141797077232283,0.9491860870865353
0.8,0.0,0.6000000000000001,16.141801602420276,0.9491860870865353
0.8,0.0,0.8,16.14180606669131,0.9491860870865353
0.8,0.0,1.0,16.14181046970755,0.9491860870865353
0.6000000000000001,-0.8,-1.0,16.14192728063612,0.9491860870865353
0.6000000000000001,-0.8,-0.8,16.141933092830595,0.9491860870865353
0.6000000000000001,-0.8,-0.6,16.141938847466793,0.9491860870865353
0.6000000000000001,-0.8,-0.3999999999999999,16.141944544176408,0.9491860870865353
0.6000000000000001,-0.8,-0.19999999999999996,16.141950182593124,0.9491860870865353
0.6000000000000001,-0.8,0.0,16.141955762352808,0.9491860870865353
0.6000000000000001,-0.8,0.20000000000000018,16.14196128309337,0.9491860870865353
0.6000000000000001,-0.8,0.40000000000000013,16.141966744454987,0.9491860870865353
0.6000000000000001,-0.8,0.6000000000000001,16.14197214607996,0.9491860870865353
0.6000000000000001,-0.8,0.8,16.141977487612753,0.9491860870865353
0.6000000000000001,-0.8,1.0,16.14198276870013,0.9491860870865353
1.0,1.0,-1.0,16.142083165523793,0.9491860870865353
1.0,1.0,-0.8,16.142087139137978,0.9491860870865353
1.0,1.0,-0.6,16.142091053093715,0.9491860870865353
1.0,1.0,-0.3999999999999999,16.142094907055384,0.9491860870865353
1.0,1.0,-0.19999999999999996,16.142098700689544,0.9491860870865353
1.0,1.0,0.0,16.142102433664945,0.9491860870865353
1.0,1.0,0.20000000000000018,16.142106105652548,0.9491860870865353
1.0,1.0,0.40000000000000013,16.1421097163256,0.9491860870865353
1.0,1.0,0.6000000000000001,16.14211326535952,0.9491860870865353
1.0,1.0,0.8,16.142116752432077,0.9491860870865353
1.0,1.0,1.0,16.14212017722333,0.9491860870865353
0.8,0.20000000000000018,-1.0,16.142203033320126,0.9491860870865353
0.8,0.20000000000000018,-0.8,16.142207883860177,0.9491860870865353
0.8,0.20000000000000018,-0.6,16.14221267563666,0.9491860870865353
0.8,0.20000000000000018,-0.3999999999999999,16.14221740829864,0.9491860870865353
0.8,0.20000000000000018,-0.19999999999999996,16.142222081497355,0.9491860870865353
0.8,0.20000000000000018,0.0,16.142226694886112,0.9491860870865353
0.8,0.20000000000000018,0.20000000000000018,16.14223124812051,0.9491860870865353
